,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,53471.24108,-28.163547374242626,U,U,3136.116897411429,3136.116897411429,1.1033382470622017e-15,0.04902097757749324,4.1926853388363664e-17,0.038,17.20458457225606,-0.7779175636030402,0.038,False
1,53472.24389,-27.16073737424449,U,U,3140.06716073,3140.06716073,1.222105428468752e-15,0.09342097757749457,3.910737371100007e-17,0.032,17.09358457225606,-0.6669175636030396,0.032,False
2,53473.20879,-26.195837374245457,U,U,3136.116897411429,3136.116897411429,1.21873328730939e-15,0.09222097757749381,3.65619986192817e-17,0.03,17.09658457225606,-0.6699175636030397,0.03,False
3,53473.22221,-26.182417374242505,U,U,3136.116897411429,3136.116897411429,1.1855194217547821e-15,0.08022097757749336,3.912214091790781e-17,0.033,17.12658457225606,-0.6999175636030408,0.033,False
4,53474.20719,-25.197437374241417,U,U,3136.116897411429,3136.116897411429,1.2097863308745493e-15,0.08902097757749416,3.871316258798558e-17,0.032,17.10458457225606,-0.6779175636030388,0.032,False
5,53474.22057,-25.18405737424473,U,U,3136.116897411429,3136.116897411429,1.186611828488645e-15,0.0806209775774942,3.7971578511636645e-17,0.032,17.12558457225606,-0.6989175636030396,0.032,False
6,53477.19557,-22.20905737423891,U,U,3136.116897411429,3136.116897411429,8.764127220927025e-16,-0.050979022422506404,3.50565088837081e-17,0.04,17.45458457225606,-1.0279175636030402,0.04,False
7,53477.20873,-22.19589737424394,U,U,3136.116897411429,3136.116897411429,8.683777219598745e-16,-0.05497902242250774,3.299835343447523e-17,0.038,17.46458457225606,-1.0379175636030418,0.038,False
8,53478.16898,-21.235647374240216,U,U,3136.116897411429,3136.116897411429,7.316589225958113e-16,-0.12937902242250665,3.438796936200313e-17,0.047,17.65058457225606,-1.2239175636030417,0.047,False
9,53482.19891,-17.20571737424325,U,U,3446.6772546297143,3446.6772546297143,6.43737298606417e-16,-0.18497902242250674,3.733676331917219e-17,0.058,17.78958457225606,-1.362917563603041,0.058,False
10,53482.21267,-17.19195737424161,U,U,3446.6772546297143,3446.6772546297143,6.575195545161958e-16,-0.17577902242250687,4.2081251489036534e-17,0.064,17.76658457225606,-1.3399175636030414,0.064,False
