,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,55099.266,-8.38802838484844,H,H,16531.394800000002,16531.394800000002,2.0875967516825847e-17,-1.4453664381878415,6.88906928055253e-19,0.033,18.232814206016034,-1.2344605848330268,0.033,False
1,55100.255,-7.399028384854319,H,H,16531.394800000002,16531.394800000002,1.8899338883729717e-17,-1.4885664381878403,1.1717590107912424e-18,0.062,18.340814206016034,-1.3424605848330273,0.062,False
2,55101.273,-6.3810283848506515,H,H,16531.394800000002,16531.394800000002,2.5471036161500458e-17,-1.3589664381878404,8.91486265652516e-19,0.035,18.016814206016036,-1.0184605848330293,0.035,False
3,55103.251,-4.4030283848551335,H,H,16531.394800000002,16531.394800000002,2.159964495206459e-17,-1.4305664381878405,9.719840228429066e-19,0.045,18.195814206016035,-1.1974605848330278,0.045,False
4,55104.243,-3.4110283848494873,H,H,16531.394800000002,16531.394800000002,2.228674337954422e-17,-1.4169664381878402,1.2480576292544765e-18,0.056,18.161814206016036,-1.1634605848330288,0.056,False
5,55113.314,5.659971615146787,H,H,16531.394800000002,16531.394800000002,3.621150811420869e-17,-1.2061664381878412,6.3370139199865205e-18,0.175,17.634814206016035,-0.6364605848330278,0.175,False
6,55119.332,11.677971615150454,H,H,16531.394800000002,16531.394800000002,3.695273711507687e-17,-1.1973664381878404,1.1824875876824599e-18,0.032,17.612814206016036,-0.6144605848330293,0.032,False
7,55120.232,12.57797161515191,H,H,17642.66384571429,17642.66384571429,4.483803920959758e-17,-1.1133664381878408,1.1209509802399395e-17,0.25,17.402814206016036,-0.4044605848330285,0.25,False
8,55122.203,14.54897161514964,H,H,15038.713877092572,15038.713877092572,4.6649459094261564e-17,-1.0961664381878418,1.1662364773565391e-17,0.25,17.359814206016036,-0.36146058483302923,0.25,False
9,55123.397,15.742971615145507,H,H,17770.7317146867,17770.7317146867,4.1233159351011114e-17,-1.1497664381878412,8.658963463712335e-19,0.021,17.493814206016037,-0.49546058483302957,0.021,False
10,55124.188,16.53397161515022,H,H,15080.05962612245,15080.05962612245,3.948631560547582e-17,-1.16856643818784,6.910105230958268e-18,0.175,17.540814206016034,-0.5424605848330266,0.175,False
11,55126.258,18.60397161514993,H,H,15080.05962612245,15080.05962612245,4.219360301348547e-17,-1.1397664381878396,7.383880527359957e-18,0.175,17.468814206016035,-0.47046058483302744,0.175,False
12,55127.193,19.538971615147602,H,H,15038.713877092572,15038.713877092572,3.4170128532330847e-17,-1.2313664381878393,8.200830847759404e-19,0.024,17.697814206016034,-0.6994605848330266,0.024,False
13,55128.18,20.525971615148592,H,H,15080.05962612245,15080.05962612245,3.9632056868664765e-17,-1.1669664381878402,7.530090805046305e-19,0.019,17.536814206016036,-0.5384605848330288,0.019,False
14,55129.329,21.674971615146205,H,H,17770.7317146867,17770.7317146867,3.729465658182438e-17,-1.1933664381878426,1.7901435159275702e-18,0.048,17.602814206016035,-0.6044605848330278,0.048,False
15,55130.365,22.710971615146264,H,H,17770.7317146867,17770.7317146867,3.153890510487497e-17,-1.26616643818784,6.938559123072492e-19,0.022,17.784814206016033,-0.7864605848330264,0.022,False
16,55131.203,23.54897161514964,H,H,15080.05962612245,15080.05962612245,3.9814990131471856e-17,-1.1649664381878413,9.953747532867964e-18,0.25,17.531814206016037,-0.5334605848330298,0.25,False
17,55132.232,24.57797161515191,H,H,17642.66384571429,17642.66384571429,3.266228864182945e-17,-1.2509664381878434,2.0577241844352552e-18,0.063,17.746814206016037,-0.7484605848330297,0.063,False
18,55133.165,25.510971615149174,H,H,17770.7317146867,17770.7317146867,3.031423495956708e-17,-1.2833664381878425,1.0003697536657136e-18,0.033,17.827814206016036,-0.8294605848330292,0.033,False
19,55134.164,26.509971615145332,H,H,17770.7317146867,17770.7317146867,3.4613587392952054e-17,-1.2257664381878417,6.057377793766609e-18,0.175,17.683814206016034,-0.6854605848330273,0.175,False
20,55135.171,27.516971615150396,H,H,17770.7317146867,17770.7317146867,3.7501324990493025e-17,-1.190966438187841,8.625304747813396e-19,0.023,17.596814206016035,-0.5984605848330276,0.023,False
21,55136.156,28.50197161515098,H,H,15038.713877092572,15038.713877092572,3.0258445474938084e-17,-1.2841664381878406,1.059045591622833e-18,0.035,17.829814206016035,-0.8314605848330281,0.035,False
22,55137.205,29.550971615150047,H,H,15080.05962612245,15080.05962612245,3.413867116977169e-17,-1.231766438187842,6.827734233954339e-19,0.02,17.698814206016035,-0.7004605848330279,0.02,False
23,55138.458,30.80397161514702,H,H,15080.05962612245,15080.05962612245,3.162617082669675e-17,-1.2649664381878427,1.2650468330678702e-18,0.04,17.781814206016037,-0.7834605848330298,0.04,False
24,55139.299,31.64497161514737,H,H,17642.66384571429,17642.66384571429,3.087781866526407e-17,-1.2753664381878433,8.64578922627394e-19,0.028,17.807814206016037,-0.8094605848330296,0.028,False
25,55143.393,35.73897161514469,H,H,15080.05962612245,15080.05962612245,2.625709118760629e-17,-1.3457664381878427,8.402269180034012e-19,0.032,17.983814206016035,-0.985460584833028,0.032,False
26,55144.274,36.619971615145914,H,H,17770.7317146867,17770.7317146867,2.769788529654422e-17,-1.32256643818784,2.0773413972408163e-18,0.075,17.925814206016035,-0.9274605848330282,0.075,False
27,55147.297,39.64297161514696,H,H,17642.66384571429,17642.66384571429,2.6232918646480025e-17,-1.3461664381878418,1.154248420445121e-18,0.044,17.984814206016036,-0.9864605848330292,0.044,False
28,55151.241,43.586971615150105,H,H,15038.713877092572,15038.713877092572,2.6524463748053536e-17,-1.3413664381878423,9.018317674338202e-19,0.034,17.972814206016036,-0.9744605848330288,0.034,False
29,55155.245,47.59097161515092,H,H,15080.05962612245,15080.05962612245,2.6040337724359703e-17,-1.3493664381878414,8.332908071795105e-19,0.032,17.992814206016035,-0.9944605848330283,0.032,False
30,55095.42719,-12.226838384849543,i,i,7778.883320000001,7778.883320000001,1.4991553113850185e-16,-0.5891664228388827,4.197634871878052e-18,0.028,17.72927536991852,-0.7309217487355113,0.028,False
31,55098.33241,-9.321618384848989,i,i,7778.883320000001,7778.883320000001,1.969004133139129e-16,-0.4707664228388815,5.1194107461617345e-18,0.026,17.43327536991852,-0.4349217487355119,0.026,False
32,55099.27213,-8.38189838485414,i,i,7778.883320000001,7778.883320000001,2.1950611724791545e-16,-0.4235664228388831,5.268146813949971e-18,0.024,17.31527536991852,-0.3169217487355134,0.024,False
33,55100.28411,-7.369918384851189,i,i,7778.883320000001,7778.883320000001,2.2858442084969894e-16,-0.4059664228388833,5.257441679543076e-18,0.023,17.27127536991852,-0.2729217487355129,0.023,False
34,55101.27948,-6.374548384854279,i,i,7778.883320000001,7778.883320000001,2.4515831501720755e-16,-0.3755664228388831,5.638641245395774e-18,0.023,17.19527536991852,-0.19692174873551238,0.023,False
35,55102.27937,-5.374658384855138,i,i,7778.883320000001,7778.883320000001,2.593263382638012e-16,-0.3511664228388831,5.705179441803626e-18,0.022,17.13427536991852,-0.13592174873551244,0.022,False
36,55103.37138,-4.282648384854838,i,i,7778.883320000001,7778.883320000001,2.804443066642486e-16,-0.3171664228388824,6.450219053277718e-18,0.023,17.04927536991852,-0.050921748735511585,0.023,False
37,55104.35633,-3.2976983848493546,i,i,7778.883320000001,7778.883320000001,2.950167183415777e-16,-0.29516642283888217,6.490367803514709e-18,0.022,16.99427536991852,0.004078251264488131,0.022,False
38,55105.20101,-2.4530183848546585,i,i,7778.883320000001,7778.883320000001,3.0300279023309877e-16,-0.28356642283888256,7.27206696559437e-18,0.024,16.96527536991852,0.033078251264488046,0.024,False
39,55106.24612,-1.4079083848482696,i,i,7778.883320000001,7778.883320000001,3.1524385360277934e-16,-0.2663664228388818,6.935364779261145e-18,0.022,16.92227536991852,0.0760782512644873,0.022,False
40,55113.49115,5.837121615149954,i,i,7778.883320000001,7778.883320000001,3.5863000954664886e-16,-0.21036642283888263,7.889860210026274e-18,0.022,16.78227536991852,0.21607825126448788,0.022,False
41,55115.45851,7.8044816151450505,i,i,7778.883320000001,7778.883320000001,3.629498554431945e-16,-0.2051664228388823,7.621946964307085e-18,0.021,16.76927536991852,0.229078251264486,0.021,False
42,55118.31318,10.659151615145674,i,i,8659.267044883594,8659.267044883594,3.5566950276248214e-16,-0.21396642283888312,7.469059558012126e-18,0.021,16.79127536991852,0.20707825126448753,0.021,False
43,55119.38297,11.72894161514705,i,i,7778.883320000001,7778.883320000001,3.4661442104580377e-16,-0.22516642283888189,6.9322884209160756e-18,0.02,16.81927536991852,0.17907825126448884,0.02,False
44,55122.37412,14.720091615148704,i,i,7517.621131743348,7517.621131743348,3.2979694456679897e-16,-0.24676642283888306,6.5959388913359795e-18,0.02,16.87327536991852,0.1250782512644868,0.02,False
45,55123.36166,15.707631615150603,i,i,7417.702376240328,7417.702376240328,3.1235368058073244e-16,-0.2703664228388831,6.247073611614649e-18,0.02,16.93227536991852,0.06607825126448574,0.02,False
46,55125.42218,17.76815161514969,i,i,7298.328940503512,7298.328940503512,3.0778441690667236e-16,-0.2767664228388824,6.46347275504012e-18,0.021,16.94827536991852,0.050078251264487506,0.021,False
