,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,54645.7396,-475.5054565616156,UVW2,UVW2,2040.5560000000003,2040.5560000000003,9.379126065526545e-17,-1.564104353842481,9.379126065526545e-18,0.1,21.124982636307948,-6.054763206423347,0.1,True
1,55104.2818,-16.963256561619346,UVW2,UVW2,1662.7335274285715,1662.7335274285715,1.1131722548890112e-16,-1.4897043538424803,1.1131722548890112e-17,0.1,20.938982636307948,-5.868763206423347,0.1,True
2,55105.1165,-16.128556561619916,UVW2,UVW2,1662.7335274285715,1662.7335274285715,1.1380526995015396e-16,-1.4801043538424796,1.1380526995015397e-17,0.1,20.914982636307947,-5.844763206423346,0.1,True
3,55108.5062,-12.73885656161292,UVW2,UVW2,1845.8933785714287,1845.8933785714287,1.129698034843555e-16,-1.4833043538424793,1.129698034843555e-17,0.1,20.922982636307946,-5.8527632064233455,0.1,True
4,55110.8466,-10.398456561619241,UVW2,UVW2,1765.6081366285714,1765.6081366285714,1.1307390044960513e-16,-1.4829043538424802,1.1307390044960513e-17,0.1,20.92198263630795,-5.851763206423348,0.1,True
5,55112.8249,-8.42015656161675,UVW2,UVW2,2040.5560000000003,2040.5560000000003,1.134912484050305e-16,-1.4813043538424804,1.1349124840503051e-17,0.1,20.917982636307947,-5.8477632064233465,0.1,True
6,55114.7392,-6.505856561612745,UVW2,UVW2,1765.6081366285714,1765.6081366285714,1.1172808967839745e-16,-1.4881043538424805,1.1172808967839746e-17,0.1,20.934982636307947,-5.864763206423346,0.1,True
7,55116.7451,-4.499956561616273,UVW2,UVW2,1765.6081366285714,1765.6081366285714,1.2071531536027452e-16,-1.4545043538424807,1.2071531536027453e-17,0.1,20.850982636307947,-5.780763206423346,0.1,True
8,55118.7544,-2.49065656161838,UVW2,UVW2,2040.5560000000003,2040.5560000000003,1.0858313422020218e-16,-1.5005043538424818,1.0858313422020219e-17,0.1,20.96598263630795,-5.895763206423348,0.1,True
9,55120.1747,-1.0703565616131527,UVW2,UVW2,2040.5560000000003,2040.5560000000003,1.1560120824487437e-16,-1.4733043538424813,1.1560120824487437e-17,0.1,20.897982636307948,-5.827763206423347,0.1,True
10,55122.3625,1.1174434383865446,UVW2,UVW2,1783.0458128571431,1783.0458128571431,1.129698034843555e-16,-1.4833043538424793,1.129698034843555e-17,0.1,20.922982636307946,-5.8527632064233455,0.1,True
11,55124.1257,2.8806434383805026,UVW2,UVW2,1765.6081366285714,1765.6081366285714,1.1475255744920665e-16,-1.476504353842481,1.1475255744920665e-17,0.1,20.905982636307947,-5.835763206423346,0.1,True
12,55136.7829,15.53784343838197,UVW2,UVW2,1658.5487157142857,1658.5487157142857,1.129698034843555e-16,-1.4833043538424793,1.129698034843555e-17,0.1,20.922982636307946,-5.8527632064233455,0.1,True
13,55139.2248,17.97974343838723,UVW2,UVW2,1765.6081366285714,1765.6081366285714,1.1485829714792846e-16,-1.4761043538424818,1.1485829714792846e-17,0.1,20.90498263630795,-5.834763206423348,0.1,True
14,57165.4905,2044.2454434383835,UVW2,UVW2,2040.5560000000003,2040.5560000000003,1.4104651931198518e-16,-1.3869043538424801,1.410465193119852e-17,0.1,20.681982636307946,-5.611763206423346,0.1,True
15,57181.0604,2059.8153434383858,UVW2,UVW2,2040.5560000000003,2040.5560000000003,1.2489998128023962e-16,-1.4397043538424814,1.2489998128023964e-17,0.1,20.813982636307948,-5.743763206423347,0.1,True
16,57349.451,2228.2059434383846,UVW2,UVW2,2040.5560000000003,2040.5560000000003,1.2628808369536184e-16,-1.4349043538424802,1.2628808369536185e-17,0.1,20.801982636307947,-5.731763206423347,0.1,True
17,57365.47,2244.224943438385,UVW2,UVW2,2040.5560000000003,2040.5560000000003,1.272220453001728e-16,-1.4317043538424805,1.2722204530017279e-17,0.1,20.79398263630795,-5.723763206423348,0.1,True
18,55104.2854,-16.959656561615702,UVM2,UVM2,2395.372932,2395.372932,9.557237383491292e-17,-1.5559343539386852,9.557237383491293e-18,0.1,20.89953997469534,-5.82932054481074,0.1,True
19,55105.1208,-16.124256561619404,UVM2,UVM2,2029.0532297142859,2029.0532297142859,9.717003813840886e-17,-1.5487343539386877,9.717003813840887e-18,0.1,20.88153997469534,-5.811320544810739,0.1,True
20,55108.513,-12.732056561617355,UVM2,UVM2,2029.0532297142859,2029.0532297142859,9.539648506555652e-17,-1.5567343539386869,9.539648506555653e-18,0.1,20.90153997469534,-5.831320544810739,0.1,True
21,55110.8533,-10.391756561613875,UVM2,UVM2,2091.7852179428573,2091.7852179428573,9.548438895035196e-17,-1.5563343539386842,9.548438895035196e-18,0.1,20.900539974695338,-5.830320544810737,0.1,True
22,55112.829,-8.416056561618461,UVM2,UVM2,2242.6012,2242.6012,9.952504283792101e-17,-1.5383343539386871,9.952504283792102e-18,0.1,20.85553997469534,-5.785320544810739,0.1,True
23,55114.7744,-6.470656561614305,UVM2,UVM2,2526.6879930285713,2526.6879930285713,1.1013677950583961e-16,-1.4943343539386866,3.931883028358474e-17,0.357,20.74553997469534,-5.67532054481074,0.357,False
24,55116.7499,-4.49515656161384,UVM2,UVM2,2091.7852179428573,2091.7852179428573,1.0221917539955466e-16,-1.5267343539386875,1.0221917539955467e-17,0.1,20.82653997469534,-5.756320544810739,0.1,True
25,55118.7578,-2.4872565616169595,UVM2,UVM2,2242.6012,2242.6012,1.0026107878056828e-16,-1.5351343539386857,3.659529375490742e-17,0.365,20.847539974695337,-5.7773205448107365,0.365,False
26,55120.1775,-1.067556561618403,UVM2,UVM2,2242.6012,2242.6012,1.0952981980609213e-16,-1.4967343539386864,3.8335436932132246e-17,0.35,20.751539974695337,-5.6813205448107365,0.35,False
27,55122.3693,1.1242434383821092,UVM2,UVM2,2452.837651714286,2452.837651714286,1.2833123483829028e-16,-1.4279343539386868,3.849937045148708e-17,0.3,20.57953997469534,-5.509320544810739,0.3,False
28,55124.1302,2.8851434383832384,UVM2,UVM2,2417.962299257143,2417.962299257143,9.708058242808861e-17,-1.5491343539386868,9.708058242808862e-18,0.1,20.882539974695337,-5.812320544810737,0.1,True
29,55136.7852,15.540143438382074,UVM2,UVM2,2203.8434574285716,2203.8434574285716,9.557237383491292e-17,-1.5559343539386852,9.557237383491293e-18,0.1,20.89953997469534,-5.82932054481074,0.1,True
30,55139.2266,17.981543438385415,UVM2,UVM2,2417.962299257143,2417.962299257143,9.980042096768574e-17,-1.5371343539386864,9.980042096768574e-18,0.1,20.85253997469534,-5.782320544810739,0.1,True
31,57162.8264,2041.5813434383817,UVM2,UVM2,2242.6012,2242.6012,1.13222404355165e-16,-1.4823343539386862,1.1322240435516501e-17,0.1,20.71553997469534,-5.645320544810739,0.1,True
32,57166.1202,2044.8751434383812,UVM2,UVM2,2242.6012,2242.6012,1.0654482813716726e-16,-1.5087343539386868,1.0654482813716727e-17,0.1,20.781539974695338,-5.711320544810738,0.1,True
